,Project ID,Project Name,Voluntary Registry,ARB/WAProject,Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Total Credits Issued,Estimated Annual Emission Reductions,Registry / ARB / WA,CCB / Certifications,Project Type From the Registry,K_cluster,DB_cluster
3349,GS2640,Hezhang Rural Methane Digesters Project in Guizhou Province,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,281893.0,50099.0,GOLD,,Biogas - Heat,15,30
3350,GS2641,Shuicheng Rural Methane Digesters Project in Guizhou Province,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,183969.0,50113.0,GOLD,,Biogas - Heat,15,30
3351,GS2642,North Wuchuan Rural Methane Digesters Project in Guizhou Province.,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,34749.0,GOLD,,Biogas - Heat,15,30
3352,GS2643,South Wuchuan Rural Methane Digesters Project in Guizhou Province.,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,37077.0,GOLD,,Biogas - Heat,15,30
3353,GS2644,Yuqing Rural Methane Digesters Project in Guizhou Province.,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,315190.0,50069.0,GOLD,,Biogas - Heat,15,30
3354,GS2645,North Zheng'an Rural Methane Digesters Project in Guizhou Province,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,48739.0,GOLD,,Biogas - Heat,15,30
3355,GS2646,South Zheng'an Rural Methane Digesters Project in Guizhou Province.,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,43381.0,GOLD,,Biogas - Heat,15,30
3356,GS2653,GS1309 Low cost irrigation devices programme in India-VPA 07,GOLD,No,Gold Standard Certified Design,Agriculture,Improved Irrigation Management,Reduction,AMS-I.B. Mechanical energy for the user with or without electrical energy,Southern Asia,0.0,12897.0,GOLD,,Other,6,-1
3357,GS2659,Improved Cooking Stoves PoA in Africa,GOLD,No,Listed,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,0.0,0.0,GOLD,,Energy Efficiency - Domestic,2,13
3358,GS2662,Changjiang and Baisha Rural Methane Digesters Project in Hainan Province,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,58273.0,GOLD,,Biogas - Heat,15,30
3359,GS2663,Chengmai Rural Methane Digesters Project in Hainan Province,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,58442.0,GOLD,,Biogas - Heat,15,30
3360,GS2664,Haikou Rural Methane Digesters Project in Hainan Province,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,329624.0,53680.0,GOLD,,Biogas - Heat,15,30
3361,GS2665,Wenchang Rural Methane Digesters Project in Hainan Province,GOLD,No,Gold Standard Certified Project,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,360074.0,56603.0,GOLD,,Biogas - Heat,15,30
3362,GS2666,Wanning Rural Methane Digesters Project in Hainan Province,GOLD,No,Listed,Household & Community,Biodigesters,Reduction,AMS-I.C. Thermal energy production with or without electricity,Eastern Asia,0.0,57170.0,GOLD,,Biogas - Heat,15,30
3363,GS2668,Biogas CDM Project of IFDP,GOLD,No,Gold Standard Certified Design,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Southern Asia,0.0,20000.0,GOLD,,Biogas - Heat,15,14
3364,GS2669,Biogas CDM Project of SHTCDP,GOLD,No,Gold Standard Certified Design,Household & Community,Biodigesters,Reduction,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Southern Asia,0.0,20000.0,GOLD,,Biogas - Heat,15,14
3365,GS2673,Nam Mo 3 Hydropower Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,South-Eastern Asia,0.0,21817.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3366,GS2678,Huili Shubaoxiang Solar PV Power Generation Phase I Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,40015.0,9641.0,GOLD,,Solar Thermal - Electricity,6,-1
3367,GS2679,Ulan Phase II 10MWp Solar PV Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Distributed,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,56015.0,13798.0,GOLD,,Solar Thermal - Electricity,6,-1
3368,GS2680,Dongdongtan 9MWp Solar PV Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Distributed,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,30334.0,11253.0,GOLD,,Solar Thermal - Electricity,6,-1
3369,GS2681,Ova Wind Power Plant,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Western Asia,86925.0,23299.0,GOLD,,Wind,17,15
3370,GS2682,Kavakli Wind Power Plant,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Western Asia,594157.0,98000.0,GOLD,,Wind,17,15
3371,GS2683,Sibel WPP,GOLD,No,Listed,Renewable Energy,Wind,Reduction,,Western Asia,0.0,180000.0,GOLD,,Wind,17,-1
3372,GS2684,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 002: XacBank LLC,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,235955.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3373,GS2685,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 003: XacBank LLC,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,249359.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3374,GS2686,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 004: XacBank LLC,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,212698.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3375,GS2687,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 005: XacBank LLC,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,215002.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3376,GS2688,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 006: XacBank LLC,GOLD,No,Gold Standard Certified Project,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,726.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3377,GS2689,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 007: XacBank LLC,GOLD,No,Listed,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,0.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3378,GS2690,MicroEnergy Credits - Mongolia - Microfinance for Clean Energy Product Lines VER Project - VPA No. 008: XacBank LLC,GOLD,No,Listed,Household & Community,Bundled Energy Efficiency,Reduction,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Eastern Asia,0.0,49199.0,GOLD,,Energy Efficiency - Domestic,6,-1
3379,GS2691,81MW Caparispisan Wind Energy Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Wind,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,393839.0,153286.0,GOLD,,Wind,8,-1
3380,GS2695,Nam Samoy Hydropower Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,South-Eastern Asia,0.0,15666.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3381,GS2697,Guizhou Kaiyang Nanjiang Hydropower Station Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Eastern Asia,0.0,55311.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3382,GS2698,Guizhou Kaiyang Zijiang Hydropower Station Project,GOLD,No,Gold Standard Certified Design,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,0.0,34525.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3383,GS2707,Nam Long Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,AMS-I.D. Grid connected renewable electricity generation,South-Eastern Asia,133180.0,20864.0,GOLD,,"Small, Low - Impact Hydro",6,-1
3384,GS2709,Empowering DRC communities through the use of Improved Cook Stoves PoA,GOLD,No,Gold Standard Certified Design,Household & Community,Cookstoves,Reduction,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Sub-Saharan Africa,0.0,0.0,GOLD,,Energy Efficiency - Domestic,2,13
3385,GS2711,GS1354 Vietnam Small Hydro PoA - Krong No 2 Hydropower Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Hydropower,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,South-Eastern Asia,55112.0,58448.0,GOLD,,"Small, Low - Impact Hydro",6,-1
