project_id,project_name,voluntary_registry,arborwaproject,voluntary_status,scope,type,reduction_or_removal,methodology_or_protocol,region,country,state,project_site_location,project_developer,total_credits_issued,total_credits_retired,total_credits_remaining,total_buffer_pool_deposits,reversals_covered_by_buffer_pool,reversals_not_covered_by_buffer,first_year_of_project_(vintage),year_unknown,project_owner,offset_project_operator,authorized_project_designee,verifier,estimated_annual_emission_reductions,pers,registry_or_arb_or_wa,arb_project_detail,arb_id,poa_idoraggregate_id,corsia_eligible,project_listed,project_registered,ccb_or_certifications,project_type_from_the_registry,registry_documents,project_website,notes_from_registry,notes_from_berkeley_carbon_trading_project,added_to_database_version_-_with_data_through,unnamed:_158,"1st_issuance_yr_(no_hard_code,_hide)",unnamed:_160
CAR574,Berkeley County Landfill Gas Project,CAR,No,Registered,Waste Management,Landfill Methane,Reduction,CAR U.S. Landfill Protocol,North America,United States,SOUTH CAROLINA,Berkeley County,"Anew Environmental, LLC",169720.0,136907.0,32813.0,0.0,,,2010.0,0.0,"Anew Environmental, LLC", , ,"First Environment, Inc.", , ,CAR,Not ARB Eligible, , ,No,2010-03-11 00:00:00,2010-12-14 00:00:00, ,Landfill Gas Capture/Combustion,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=574, , ,"The project developer through v10 was Element Markets Emissions, LLC",v 1  12-2020,,2010.0,1.0
GS865,TBEC Tha Chang Biogas Project PreCDMVER,GOLD,No,Gold Standard Certified Design,Waste Management,Methane Recovery in Wastewater,Reduction,ACM0014 Treatment of wastewater,South-Eastern Asia,Thailand, , ,Carbon Bridge Pte Ltd,0.0,0.0,0.0,0.0,,,,0.0, , , , ,44676, ,GOLD, , , ,No, , , ,Biogas - Electricity,https://registry.goldstandard.org/projects?q=GS865, , , ,v 1  12-2020,,0.0,1.0
GS909,Energy from Coffee Wastewater at Beneficio El Carmen CISA,GOLD,No,Gold Standard Certified Design,Waste Management,Methane Recovery in Wastewater,Reduction,AMS-I.F. Renewable electricity generation for captive use and mini-grid,Latin America and the Caribbean,Nicaragua, , ,Climate Neutral Group,0.0,0.0,0.0,0.0,,,,0.0, , , , ,1000, ,GOLD, , , ,No, , , ,Biogas - Electricity,https://registry.goldstandard.org/projects?q=GS909, , , ,v 1  12-2020,,0.0,1.0
VCS4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,VCS,No,Registration requested,Household & Community,Clean Water,Reduction,AMS-III.AV.,South-Eastern Asia,Indonesia, , ,Synopex Inc.,0.0,0.0,0.0,0.0,,,,0.0, , , , ,11745, ,VCS, , , , , , , ,Energy demand,https://registry.verra.org/app/projectDetail/VCS/4103, , , ,v 8  05-2023,,0.0,1.0
VCS4364,Liaoning Shenyang Kangping Swine Farm AWMS Biogas Recovery Project,VCS,No,Registration requested,Agriculture,Manure Methane Digester,Reduction,AMS-III.D.,Eastern Asia,China, , ,"Muyuan Foods Co., Ltd.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,100272, ,VCS, , , , , , , ,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",https://registry.verra.org/app/projectDetail/VCS/4364, , , ,v 8  05-2023,,0.0,1.0
GS5699,30 MW Solar PV Project by Nirosha Solar Power Private Limited,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,ACM0002 Grid-connected electricity generation from renewable sources,Southern Asia,India, , ,EKI Energy Services Limited,194740.0,173870.0,20870.0,0.0,,,2016.0,0.0, , , , ,46815, ,GOLD, , , ,No, , , ,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS5699, , , ,v 1  12-2020,,2016.0,1.0
VCS3284,INTEGRATED REDD+ PROJECT1 IN PAPUA NEW GUINEA,VCS,No,Under development,Forestry & Land Use,REDD+,Reduction,VM0015,Oceania,Papua New Guinea, , ,Kanaka Management Services Private Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,20012952, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/3284, , , ,v 6  11-2022,,0.0,1.0
GS1746,Everbright Suqian & Huaining Bundled Solar PV Power Generation Project,GOLD,No,Gold Standard Certified Project,Renewable Energy,Solar - Centralized,Reduction,AMS-I.D. Grid connected renewable electricity generation,Eastern Asia,China, , ,Innovative Carbon Investment Co. Ltd.,7663.0,0.0,7663.0,0.0,,,2012.0,0.0, , , , ,8770, ,GOLD, , , ,No, , , ,Solar Thermal - Electricity,https://registry.goldstandard.org/projects?q=GS1746, , , ,v 1  12-2020,,2012.0,1.0
VCS2075,"Agricultural Land Management Project in Hujgal & Kalari Cluster watershed, India implemented by Godrej Agrovet Ltd.",VCS,No,Registration requested,Agriculture,Sustainable Agriculture,Mixed,VM0017,Southern Asia,India, , ,Godrej Agrovet Limited,0.0,0.0,0.0,0.0,,,,0.0, , , , ,30403, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/2075, , , ,v 1  12-2020,,0.0,1.0
VCS4104,Adjusted Water Management in Rice Cultivation in Potou District,VCS,No,Inactive,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,Eastern Asia,China, , ,"Xuwen Xinpenggang Building Materials Co., Ltd.",0.0,0.0,0.0,0.0,,,,0.0, , , , ,59874, ,VCS, , , , , , , ,Agriculture Forestry and Other Land Use,https://registry.verra.org/app/projectDetail/VCS/4104, , , ,v 8  05-2023,,0.0,1.0
