unnamed:_0,project_id,project_name,voluntary_registry,arb_wa_project,voluntary_status,project_type,type_rule,methodology,region,country,project_developer,estimated_annual_emission_reductions,project_type_from_the_registry,registry_documents,added_to_database_version
7895,VCS3379,AMMS GHG MITIGATION PROJECT IN SHANDONG WEIHAI,VCS,No,Under development,Bundled Compost Production and Soil Application,,AMS-III.F. Avoidance of methane emissions through composting;VM0042 Methodology for Improved Agricultural Land Management,Eastern Asia,China,Multiple Proponents,37394.0,Agriculture Forestry and Other Land Use; Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/3379,v 6  11-2022
8084,VCS3616,Recycling Roadways for Carbon Emission Reductions - Midstate Reclamation and Trucking,VCS,No,Registered,Road Construction Emission Reductions,Road Construction Emission Reductions,VM0039 Methodology for Use of Foam Stabilized Base and Emulsion Asphalt Mixtures in Pavement Application,North America,United States,"Global Emissionairy, LLC",75767.0,Construction,https://registry.verra.org/app/projectDetail/VCS/3616,v 6  11-2022
8264,VCS3839,Recycling Roadways for Carbon Emission Reductions – Global Emissionairy – U.S. Project #1,VCS,No,Registration and verification approval requested,Road Construction Emission Reductions,Road Construction Emission Reductions,VM0039 Methodology for Use of Foam Stabilized Base and Emulsion Asphalt Mixtures in Pavement Application,North America,United States,"Global Emissionairy, LLC",57231.0,Construction,https://registry.verra.org/app/projectDetail/VCS/3839,v 9  11-2023
8784,VCS4530,Modal shift in transportation of cargo from road transportation to more efficient transportation,VCS,No,Under development,Fuel Transport,,AM0090 Modal shift in transportation of cargo from road transportation to water or rail transportation,North America,United States,MatchBack Systems Inc.,310081.0,Transport,https://registry.verra.org/app/projectDetail/VCS/4530,v 9  11-2023
8788,VCS4535,SHIFT FROM ROAD FREIGHT TO PIPELINE IN TRANSPORTATION OF LIQUID FUELS IN BRAZIL,VCS,No,Under validation,Fuel Transport,Fuel Transport,AM0110 Modal shift in transportation of liquid fuels,Latin America and the Caribbean,Brazil,Logum Logistica S.A.,92059.0,Transport,https://registry.verra.org/app/projectDetail/VCS/4535,v 9  11-2023
8796,VCS4546,RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – RECYCLING & STABILIZING ASSOCIATION OF CALIFORNIA,VCS,No,Under development,Road Construction Emission Reductions,Road Construction Emission Reductions,VM0039 Methodology for Use of Foam Stabilized Base and Emulsion Asphalt Mixtures in Pavement Application,North America,United States,"Global Emissionairy, LLC",30000.0,Construction,https://registry.verra.org/app/projectDetail/VCS/4546,v 9  11-2023
8797,VCS4547,RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – GLOBAL EMISSIONAIRY – U.S. PROJECT #2,VCS,No,Under development,Road Construction Emission Reductions,Road Construction Emission Reductions,VM0039 Methodology for Use of Foam Stabilized Base and Emulsion Asphalt Mixtures in Pavement Application,North America,United States,"Global Emissionairy, LLC",50000.0,Construction,https://registry.verra.org/app/projectDetail/VCS/4547,v 9  11-2023
8827,VCS4578,Biochar Project-1 by WeAct,VCS,No,Under validation,Biochar,Biochar,VM0044 Methodology for Biochar Utilization in Soil and Non-Soil Applications,Southern Asia,India,WeAct Pty Ltd.,22376.0,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4578,v 9  11-2023
8897,VCS4679,Project Reignite: Turning Farm Waste to Climate Action,VCS,No,Registration requested,Biochar,Biochar,VM0044 Methodology for Biochar Utilization in Soil and Non-Soil Applications,Southern Asia,India,SRCNatura Sure Pvt. Ltd.,110760.0,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4679,v 9  11-2023
8918,VCS4711,Brightly - Reducing Food Loss and Waste,VCS,No,Under validation,Waste Reduction,,VM0046 Methodology for Reducing Food Loss and Waste,North America,United States,Multiple Proponents,1125334.0,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4711,V11  3-2024
8961,VCS4774,Global Biochar Project by EnKIng International,VCS,No,Under development,Biochar,Biochar,VM0044 Methodology for Biochar Utilization in Soil and Non-Soil Applications,Southern Asia,India,EKI Energy Services Limited,37159.0,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4774,v10  12-2023
8985,VCS4812,Project Terre Boost: Biochar for a Better Tomorrow,VCS,No,Registration requested,Biochar,Biochar,VM0044 Methodology for Biochar Utilization in Soil and Non-Soil Applications,Southern Asia,India,SRCNatura Sure Pvt. Ltd.,116961.0,Waste handling and disposal,https://registry.verra.org/app/projectDetail/VCS/4812,v10  12-2023
9049,VCS4904,SF6 Alternate Cover Gas Conversion Project for AMACOR Magnesium Recycling Facility,VCS,No,Under validation,SF6 Replacement,SF6 Replacement,AM0065 Replacement of SF6 with alternate cover gas in the magnesium industry,North America,United States,Advanced Magnesium Alloys Corporation (AMACOR),128552.0,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride; Manufacturing industries,https://registry.verra.org/app/projectDetail/VCS/4904,V11  3-2024
